px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
20.1902	10.6249	-4.82001	-1.76801	0.488771	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	3.04945
20.2521	10.8833	-4.84828	-1.74706	0.483674	20.371	11.0109	20.1663	10.864	0.722256	4.7934	1.56871
20.2807	11.1365	-4.86305	-1.71932	0.48331	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	4.76477
20.3159	11.3712	-4.85704	-1.69679	0.481827	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	0.0293887
20.2595	11.6233	-4.84141	-1.61775	0.571857	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	10.9032
20.3326	11.86	-4.84532	-1.61488	0.543843	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	4.61949
20.3579	12.0948	-4.84618	-1.61015	0.498599	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	3.6884
20.3481	12.369	-4.88076	-1.57647	0.506047	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	0.943479
20.297	12.6098	-4.86753	-1.51658	0.566324	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	3.34372
20.3221	12.8487	-4.86469	-1.50451	0.549187	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	1.77992
20.3077	13.0832	-4.855	-1.47671	0.553937	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	2.14178
20.2713	13.3003	-4.8282	-1.44585	0.55883	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	1.20781
20.2315	13.5363	-4.82615	-1.41905	0.552537	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	1.31875
20.2132	13.7888	-4.84091	-1.39947	0.543212	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	1.17461
20.1557	14.0188	-4.83249	-1.36191	0.562713	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	0.907567
20.1027	14.2679	-4.84788	-1.33415	0.561437	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	0.270586
20.0302	14.4975	-4.84445	-1.30234	0.564017	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	1.41433
19.9249	14.7442	-4.86819	-1.26067	0.576758	19.781	14.773	19.934	14.6897	-1.30687	4.62805	1.21785
19.8573	14.9648	-4.85508	-1.2432	0.553236	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	3.42666
19.824	15.1869	-4.8353	-1.23259	0.536639	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	2.15154
19.6899	15.3984	-4.8314	-1.15605	0.634814	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	7.92204
19.6548	15.5965	-4.78672	-1.14615	0.614619	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	3.83947
19.5579	15.8059	-4.77723	-1.1191	0.607424	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	1.42781
19.4555	16.0168	-4.77284	-1.09026	0.606091	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	0.0238845
19.3521	16.2276	-4.76865	-1.07449	0.57446	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	1.87899
19.2406	16.4078	-4.73706	-1.04407	0.578026	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	0.987928
19.12	16.6074	-4.73317	-1.0142	0.580789	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	0.315433
18.9933	16.8115	-4.73797	-0.986311	0.579327	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	0.0438277
18.8362	17.0027	-4.74943	-0.927836	0.641791	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	6.38272
18.6718	17.2247	-4.79468	-0.895128	0.639895	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	1.55067
18.5668	17.4319	-4.7819	-0.910028	0.549179	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	6.19341
18.3597	17.6145	-4.81225	-0.863773	0.566791	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	3.78693
18.223	17.8065	-4.80535	-0.860479	0.516247	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	2.43897
18.09	17.9935	-4.79551	-0.843828	0.50739	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	0.910279
17.9132	18.1498	-4.78809	-0.800792	0.539909	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	1.97377
17.7758	18.2989	-4.74755	-0.778565	0.537034	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	1.24302
17.6398	18.4828	-4.73891	-0.771607	0.508268	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	6.72697
17.4513	18.6573	-4.76143	-0.744179	0.509273	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	0.368278
17.2687	18.8005	-4.7529	-0.709237	0.526158	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	1.78628
17.1043	18.9396	-4.72784	-0.684576	0.525591	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	0.44385
16.937	19.1099	-4.73235	-0.672954	0.503597	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	3.02378
16.7217	19.2235	-4.72892	-0.63256	0.519345	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	2.71221
16.5329	19.3754	-4.73899	-0.608919	0.520359	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	3.1949
16.316	19.5291	-4.77306	-0.583341	0.51842	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	0.801161
16.0915	19.6139	-4.76212	-0.532661	0.55554	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	10.0869
15.8893	19.7551	-4.77575	-0.512378	0.547262	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	0.769852
15.6984	19.8815	-4.76062	-0.507206	0.502049	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	3.21968
15.4752	20.0285	-4.79751	-0.489137	0.493185	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	1.40861
15.2679	20.1674	-4.81063	-0.477866	0.473177	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	5.74125
15.0767	20.301	-4.80597	-0.466551	0.460746	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	1.82097
14.8474	20.3831	-4.80551	-0.429222	0.482562	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	2.13296
14.6323	20.5022	-4.81519	-0.412586	0.47454	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	0.667128
14.399	20.5873	-4.82521	-0.37636	0.499168	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	1.33403
14.1534	20.6614	-4.83823	-0.344282	0.505954	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	0.794965
13.9189	20.7314	-4.84297	-0.308789	0.526496	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	0.402253
13.6496	20.7931	-4.87633	-0.273862	0.533991	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	1.98988
13.4038	20.8229	-4.87928	-0.220499	0.584119	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	2.42307
13.1557	20.8664	-4.88589	-0.18793	0.587279	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	0.195942
